Transaction_ID,Date,Department,Cost_Category,Budgeted_Revenue,Actual_Revenue,Budgeted_Cost,Actual_Cost
FIN-10259,08/06/2025,Engineering,Payroll,$0.00,$0.00,"$44,832.00","$41,906.00"
FIN-10260,30/11/2025,Operations,Cloud Infrastructure,$0.00,$0.00,"$11,007.00","$10,259.00"
FIN-10261,17/02/2025,Marketing,Payroll,"$92,207.00","$101,615.00","$11,435.00","$12,461.00"
FIN-10262,09/08/2024,Operations,Travel & Entertainment,$0.00,$0.00,"$26,661.00","$31,491.00"
FIN-10263,28/04/2025,Marketing,Office Supplies,"$100,192.00","$108,337.00","$18,073.00","$18,833.00"
FIN-10264,22/01/2024,Marketing,Cloud Infrastructure,"$117,889.00","$135,223.00","$59,838.00","$71,246.00"
FIN-10265,06/11/2025,Engineering,Cloud Infrastructure,$0.00,$0.00,"$31,427.00","$35,433.00"
FIN-10266,07/01/2024,Operations,Cloud Infrastructure,$0.00,$0.00,"$54,064.00","$53,906.00"
FIN-10267,19/03/2024,Engineering,Cloud Infrastructure,$0.00,$0.00,"$39,241.00","$35,329.00"
FIN-10268,26/04/2025,Marketing,Travel & Entertainment,"$64,288.00","$56,615.00","$42,232.00","$40,081.00"
FIN-10269,05/06/2024,Engineering,Office Supplies,$0.00,$0.00,"$56,766.00","$62,678.00"
FIN-10270,22/01/2024,Engineering,Cloud Infrastructure,$0.00,$0.00,"$54,413.00","$51,437.00"
FIN-10271,26/08/2025,Operations,Travel & Entertainment,$0.00,$0.00,"$49,214.00","$50,489.00"
FIN-10272,24/03/2024,Engineering,Payroll,$0.00,$0.00,"$42,196.00","$50,432.00"
FIN-10273,13/09/2024,Marketing,Office Supplies,"$69,982.00","$75,143.00","$58,290.00","$53,005.00"
FIN-10274,07/06/2025,Marketing,Office Supplies,"$68,639.00","$69,529.00","$31,563.00","$30,163.00"
FIN-10275,18/10/2025,Operations,Travel & Entertainment,$0.00,$0.00,"$18,711.00","$21,167.00"
FIN-10276,16/11/2025,Marketing,Office Supplies,"$89,110.00","$92,484.00","$27,343.00","$27,021.00"
FIN-10277,19/06/2025,HR,Software Licenses,$0.00,$0.00,"$25,251.00","$28,759.00"
FIN-10278,01/06/2024,Sales,Advertising,"$129,083.00","$119,306.00","$18,712.00","$17,966.00"
FIN-10279,15/05/2025,Operations,Software Licenses,$0.00,$0.00,"$26,967.00","$26,781.00"
FIN-10280,12/03/2024,Operations,Software Licenses,$0.00,$0.00,"$36,589.00","$37,238.00"
FIN-10281,31/12/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$51,688.00","$59,856.00"
FIN-10282,11/04/2024,Sales,Cloud Infrastructure,"$82,981.00","$89,183.00","$19,768.00","$19,226.00"
FIN-10283,15/02/2024,HR,Office Supplies,$0.00,$0.00,"$45,488.00","$48,576.00"
FIN-10284,29/08/2024,HR,Payroll,$0.00,$0.00,"$59,153.00","$62,718.00"
FIN-10285,11/08/2025,HR,Software Licenses,$0.00,$0.00,"$53,201.00","$63,481.00"
FIN-10286,30/03/2024,Marketing,Software Licenses,"$118,577.00","$102,255.00","$35,003.00","$32,600.00"
FIN-10287,12/11/2024,Engineering,Cloud Infrastructure,$0.00,$0.00,"$11,925.00","$12,860.00"
FIN-10288,13/03/2024,Sales,Software Licenses,"$140,827.00","$156,499.00","$36,289.00","$39,467.00"
FIN-10289,24/03/2024,Engineering,Cloud Infrastructure,$0.00,$0.00,"$56,163.00","$59,864.00"
FIN-10290,24/01/2025,Marketing,Advertising,"$124,137.00","$123,425.00","$31,288.00","$29,698.00"
FIN-10291,14/01/2024,Engineering,Software Licenses,$0.00,$0.00,"$25,349.00","$27,325.00"
FIN-10292,07/06/2025,Operations,Payroll,$0.00,$0.00,"$23,612.00","$25,612.00"
FIN-10293,26/05/2024,HR,Travel & Entertainment,$0.00,$0.00,"$28,311.00","$32,884.00"
FIN-10294,04/11/2024,Engineering,Office Supplies,$0.00,$0.00,"$30,049.00","$27,232.00"
FIN-10295,23/10/2025,Operations,Payroll,$0.00,$0.00,"$35,658.00","$39,048.00"
FIN-10296,04/02/2024,Operations,Travel & Entertainment,$0.00,$0.00,"$26,309.00","$23,920.00"
FIN-10297,18/12/2024,HR,Payroll,$0.00,$0.00,"$17,005.00","$20,205.00"
FIN-10298,24/01/2024,HR,Travel & Entertainment,$0.00,$0.00,"$22,803.00","$25,553.00"
FIN-10299,16/01/2025,HR,Office Supplies,$0.00,$0.00,"$49,063.00","$52,153.00"
FIN-10300,30/08/2025,Sales,Office Supplies,"$75,849.00","$80,974.00","$32,015.00","$34,635.00"
FIN-10301,30/11/2024,Marketing,Office Supplies,"$95,350.00","$88,966.00","$27,778.00","$27,365.00"
FIN-10302,28/09/2025,HR,Cloud Infrastructure,$0.00,$0.00,"$58,364.00","$60,683.00"
FIN-10303,21/01/2024,Sales,Cloud Infrastructure,"$69,975.00","$67,987.00","$22,765.00","$21,715.00"
FIN-10304,09/06/2025,Marketing,Travel & Entertainment,"$114,324.00","$99,546.00","$14,648.00","$14,269.00"
FIN-10305,15/01/2025,Sales,Office Supplies,"$119,350.00","$107,302.00","$36,616.00","$37,337.00"
FIN-10306,11/06/2024,Operations,Travel & Entertainment,$0.00,$0.00,"$53,006.00","$57,062.00"
FIN-10307,04/04/2025,HR,Travel & Entertainment,$0.00,$0.00,"$46,142.00","$44,776.00"
FIN-10308,10/01/2024,Engineering,Advertising,$0.00,$0.00,"$26,653.00","$26,633.00"
FIN-10309,27/08/2025,Marketing,Office Supplies,"$69,816.00","$68,368.00","$58,403.00","$62,862.00"
FIN-10310,27/05/2025,Sales,Advertising,"$121,635.00","$117,232.00","$45,946.00","$51,501.00"
FIN-10311,22/07/2024,Operations,Payroll,$0.00,$0.00,"$46,336.00","$51,507.00"
FIN-10312,04/06/2024,HR,Cloud Infrastructure,$0.00,$0.00,"$44,707.00","$43,854.00"
FIN-10313,03/10/2025,Sales,Travel & Entertainment,"$141,155.00","$122,170.00","$25,360.00","$23,753.00"
FIN-10314,16/07/2024,Operations,Travel & Entertainment,$0.00,$0.00,"$47,946.00","$47,698.00"
FIN-10315,21/11/2025,HR,Software Licenses,$0.00,$0.00,"$51,235.00","$61,276.00"
FIN-10316,03/08/2024,Engineering,Cloud Infrastructure,$0.00,$0.00,"$10,125.00","$12,003.00"
FIN-10317,01/11/2024,Operations,Payroll,$0.00,$0.00,"$25,398.00","$26,323.00"
FIN-10318,09/05/2025,Engineering,Software Licenses,$0.00,$0.00,"$19,110.00","$21,022.00"
FIN-10319,30/05/2024,Operations,Office Supplies,$0.00,$0.00,"$11,969.00","$11,496.00"
FIN-10320,09/01/2025,Marketing,Travel & Entertainment,"$73,196.00","$71,960.00","$47,380.00","$56,335.00"
FIN-10321,23/06/2024,Marketing,Payroll,"$97,414.00","$111,401.00","$32,473.00","$29,396.00"
FIN-10322,24/05/2024,Marketing,Payroll,"$144,795.00","$127,989.00","$47,208.00","$52,252.00"
FIN-10323,01/01/2024,Engineering,Advertising,$0.00,$0.00,"$29,508.00","$32,461.00"
FIN-10324,26/12/2024,Marketing,Advertising,"$86,059.00","$77,262.00","$27,087.00","$24,770.00"
FIN-10325,07/08/2025,Sales,Payroll,"$137,128.00","$152,380.00","$37,208.00","$34,497.00"
FIN-10326,07/06/2024,Sales,Cloud Infrastructure,"$75,923.00","$79,351.00","$45,941.00","$45,854.00"
FIN-10327,05/09/2025,Engineering,Advertising,$0.00,$0.00,"$46,321.00","$52,281.00"
FIN-10328,05/10/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$48,218.00","$48,830.00"
FIN-10329,30/03/2025,Sales,Travel & Entertainment,"$53,726.00","$55,824.00","$47,574.00","$50,858.00"
FIN-10330,27/08/2025,Sales,Payroll,"$58,927.00","$56,686.00","$32,443.00","$29,341.00"
FIN-10331,23/09/2024,Engineering,Advertising,$0.00,$0.00,"$35,537.00","$36,924.00"
FIN-10332,03/01/2024,Operations,Software Licenses,$0.00,$0.00,"$16,471.00","$17,388.00"
FIN-10333,29/03/2025,HR,Travel & Entertainment,$0.00,$0.00,"$11,177.00","$10,424.00"
FIN-10334,12/05/2024,Marketing,Travel & Entertainment,"$77,598.00","$78,380.00","$53,790.00","$54,774.00"
FIN-10335,08/12/2024,Marketing,Office Supplies,"$128,714.00","$129,533.00","$34,596.00","$33,168.00"
FIN-10336,01/12/2024,Operations,Office Supplies,$0.00,$0.00,"$49,310.00","$47,980.00"
FIN-10337,20/02/2024,HR,Travel & Entertainment,$0.00,$0.00,"$59,292.00","$59,617.00"
FIN-10338,29/11/2024,Operations,Office Supplies,$0.00,$0.00,"$17,151.00","$18,127.00"
FIN-10339,08/05/2025,Engineering,Travel & Entertainment,$0.00,$0.00,"$16,894.00","$17,902.00"
FIN-10340,09/10/2025,Marketing,Office Supplies,"$114,157.00","$121,559.00","$54,976.00","$65,587.00"
FIN-10341,30/03/2024,Sales,Advertising,"$149,590.00","$157,718.00","$58,713.00","$66,928.00"
FIN-10342,07/06/2024,Sales,Software Licenses,"$124,172.00","$115,103.00","$34,611.00","$35,557.00"
FIN-10343,19/01/2025,HR,Travel & Entertainment,$0.00,$0.00,"$23,673.00","$22,103.00"
FIN-10344,20/05/2024,Operations,Advertising,$0.00,$0.00,"$19,435.00","$18,821.00"
FIN-10345,04/06/2025,Marketing,Software Licenses,"$125,388.00","$140,656.00","$16,295.00","$16,393.00"
FIN-10346,02/06/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$55,105.00","$61,694.00"
FIN-10347,03/09/2025,HR,Software Licenses,$0.00,$0.00,"$33,384.00","$31,002.00"
FIN-10348,06/11/2025,Marketing,Payroll,"$114,174.00","$105,105.00","$27,633.00","$28,789.00"
FIN-10349,22/10/2025,Sales,Advertising,"$127,231.00","$120,065.00","$37,042.00","$40,084.00"
FIN-10350,08/06/2024,Engineering,Software Licenses,$0.00,$0.00,"$19,160.00","$19,490.00"
FIN-10351,23/05/2025,Sales,Advertising,"$136,936.00","$156,974.00","$56,882.00","$61,382.00"
FIN-10352,19/10/2025,Engineering,Software Licenses,$0.00,$0.00,"$42,117.00","$43,537.00"
FIN-10353,03/04/2025,HR,Advertising,$0.00,$0.00,"$48,467.00","$54,152.00"
FIN-10354,07/07/2025,Operations,Advertising,$0.00,$0.00,"$22,323.00","$20,664.00"
FIN-10355,18/12/2024,HR,Cloud Infrastructure,$0.00,$0.00,"$26,456.00","$26,376.00"
FIN-10356,10/03/2024,Sales,Office Supplies,"$122,240.00","$134,410.00","$15,051.00","$17,159.00"
FIN-10357,22/06/2025,Operations,Advertising,$0.00,$0.00,"$44,503.00","$48,742.00"
FIN-10358,15/01/2025,Marketing,Cloud Infrastructure,"$124,069.00","$130,377.00","$29,201.00","$29,460.00"
FIN-10359,19/12/2024,HR,Advertising,$0.00,$0.00,"$54,843.00","$50,819.00"
FIN-10360,28/03/2025,Operations,Travel & Entertainment,$0.00,$0.00,"$20,526.00","$23,121.00"
FIN-10361,06/11/2024,Marketing,Advertising,"$138,733.00","$136,667.00","$13,083.00","$13,138.00"
FIN-10362,09/10/2025,HR,Cloud Infrastructure,$0.00,$0.00,"$44,447.00","$45,102.00"
FIN-10363,05/10/2024,HR,Cloud Infrastructure,$0.00,$0.00,"$58,231.00","$52,757.00"
FIN-10364,04/09/2024,HR,Payroll,$0.00,$0.00,"$42,376.00","$46,675.00"
FIN-10365,24/03/2024,Marketing,Payroll,"$126,559.00","$126,818.00","$19,715.00","$21,935.00"
FIN-10366,15/10/2025,HR,Payroll,$0.00,$0.00,"$15,782.00","$15,449.00"
FIN-10367,31/07/2025,Sales,Travel & Entertainment,"$85,585.00","$96,804.00","$28,880.00","$28,639.00"
FIN-10368,28/06/2024,Marketing,Office Supplies,"$114,977.00","$115,517.00","$27,826.00","$31,607.00"
FIN-10369,22/05/2024,HR,Travel & Entertainment,$0.00,$0.00,"$34,819.00","$33,515.00"
FIN-10370,26/08/2024,Sales,Software Licenses,"$75,169.00","$78,054.00","$21,421.00","$24,921.00"
FIN-10371,31/10/2025,Engineering,Office Supplies,$0.00,$0.00,"$50,461.00","$46,639.00"
FIN-10372,08/02/2025,Engineering,Software Licenses,$0.00,$0.00,"$30,609.00","$29,601.00"
FIN-10373,24/07/2024,HR,Software Licenses,$0.00,$0.00,"$58,895.00","$69,485.00"
FIN-10374,09/09/2024,Sales,Office Supplies,"$123,822.00","$123,341.00","$35,709.00","$41,760.00"
FIN-10375,25/08/2024,Operations,Office Supplies,$0.00,$0.00,"$21,138.00","$25,066.00"
FIN-10376,25/01/2024,Operations,Travel & Entertainment,$0.00,$0.00,"$58,519.00","$61,062.00"
FIN-10377,20/06/2025,HR,Travel & Entertainment,$0.00,$0.00,"$33,563.00","$39,931.00"
FIN-10378,30/08/2025,HR,Travel & Entertainment,$0.00,$0.00,"$18,734.00","$19,705.00"
FIN-10379,19/10/2025,Operations,Office Supplies,$0.00,$0.00,"$45,262.00","$49,437.00"
FIN-10380,12/02/2024,Marketing,Office Supplies,"$142,822.00","$127,912.00","$49,922.00","$53,383.00"
FIN-10381,10/12/2024,Marketing,Advertising,"$99,841.00","$86,595.00","$40,158.00","$47,992.00"
FIN-10382,23/03/2024,Sales,Cloud Infrastructure,"$111,588.00","$98,913.00","$38,861.00","$38,068.00"
FIN-10383,19/09/2024,HR,Payroll,$0.00,$0.00,"$42,003.00","$45,781.00"
FIN-10384,05/07/2025,Sales,Travel & Entertainment,"$116,918.00","$107,125.00","$13,292.00","$14,450.00"
FIN-10385,03/05/2024,Marketing,Travel & Entertainment,"$82,371.00","$80,018.00","$43,535.00","$41,723.00"
FIN-10386,02/06/2025,Engineering,Office Supplies,$0.00,$0.00,"$37,605.00","$43,180.00"
FIN-10387,20/08/2025,Operations,Advertising,$0.00,$0.00,"$14,481.00","$13,614.00"
FIN-10388,08/02/2025,Operations,Software Licenses,$0.00,$0.00,"$34,022.00","$32,019.00"
FIN-10389,26/02/2025,Operations,Payroll,$0.00,$0.00,"$32,740.00","$37,660.00"
FIN-10390,07/05/2025,Operations,Travel & Entertainment,$0.00,$0.00,"$45,153.00","$41,512.00"
FIN-10391,02/11/2025,HR,Payroll,$0.00,$0.00,"$54,002.00","$52,908.00"
FIN-10392,29/01/2025,Operations,Office Supplies,$0.00,$0.00,"$39,300.00","$41,126.00"
FIN-10393,29/06/2025,HR,Office Supplies,$0.00,$0.00,"$43,361.00","$45,217.00"
FIN-10394,11/03/2025,Operations,Advertising,$0.00,$0.00,"$53,404.00","$50,196.00"
FIN-10395,10/07/2024,Sales,Payroll,"$140,536.00","$148,467.00","$59,723.00","$55,119.00"
FIN-10396,06/04/2024,Marketing,Software Licenses,"$70,281.00","$65,074.00","$35,364.00","$40,581.00"
FIN-10397,18/07/2024,Sales,Payroll,"$57,099.00","$56,253.00","$41,186.00","$38,373.00"
FIN-10398,24/03/2025,Operations,Travel & Entertainment,$0.00,$0.00,"$38,758.00","$43,211.00"
FIN-10399,12/09/2025,Engineering,Cloud Infrastructure,$0.00,$0.00,"$45,479.00","$41,416.00"
FIN-10400,27/05/2024,Operations,Software Licenses,$0.00,$0.00,"$20,142.00","$19,919.00"
FIN-10401,12/10/2025,HR,Cloud Infrastructure,$0.00,$0.00,"$48,278.00","$54,802.00"
FIN-10402,16/07/2025,Engineering,Software Licenses,$0.00,$0.00,"$39,956.00","$42,548.00"
FIN-10403,17/12/2024,Marketing,Advertising,"$78,270.00","$68,458.00","$54,251.00","$63,455.00"
FIN-10404,09/10/2025,Sales,Payroll,"$102,161.00","$107,290.00","$35,538.00","$33,278.00"
FIN-10405,16/01/2025,HR,Advertising,$0.00,$0.00,"$52,600.00","$57,500.00"
FIN-10406,12/01/2025,Marketing,Software Licenses,"$84,964.00","$75,411.00","$15,978.00","$19,077.00"
FIN-10407,08/01/2025,Operations,Travel & Entertainment,$0.00,$0.00,"$49,071.00","$55,176.00"
FIN-10408,14/10/2024,HR,Software Licenses,$0.00,$0.00,"$26,905.00","$26,944.00"
FIN-10409,05/02/2025,Sales,Payroll,"$120,119.00","$117,671.00","$59,145.00","$64,106.00"
FIN-10410,17/02/2025,HR,Travel & Entertainment,$0.00,$0.00,"$21,435.00","$20,561.00"
FIN-10411,16/11/2025,Sales,Travel & Entertainment,"$127,794.00","$134,367.00","$58,758.00","$68,381.00"
FIN-10412,20/08/2024,Marketing,Travel & Entertainment,"$78,044.00","$71,513.00","$25,997.00","$29,964.00"
FIN-10413,25/12/2024,HR,Cloud Infrastructure,$0.00,$0.00,"$38,927.00","$41,399.00"
FIN-10414,22/08/2024,Sales,Advertising,"$73,387.00","$63,329.00","$29,921.00","$27,897.00"
FIN-10415,31/07/2024,HR,Cloud Infrastructure,$0.00,$0.00,"$58,689.00","$56,579.00"
FIN-10416,10/02/2025,HR,Travel & Entertainment,$0.00,$0.00,"$53,285.00","$56,624.00"
FIN-10417,18/12/2024,Engineering,Advertising,$0.00,$0.00,"$28,450.00","$26,898.00"
FIN-10418,30/01/2024,HR,Payroll,$0.00,$0.00,"$46,068.00","$43,673.00"
FIN-10419,27/12/2024,Marketing,Payroll,"$105,147.00","$112,290.00","$26,832.00","$26,385.00"
FIN-10420,27/04/2025,Marketing,Software Licenses,"$118,056.00","$120,006.00","$46,735.00","$53,489.00"
FIN-10421,06/03/2024,Sales,Travel & Entertainment,"$134,899.00","$114,875.00","$29,033.00","$33,445.00"
FIN-10422,12/01/2024,Sales,Advertising,"$63,944.00","$72,731.00","$33,928.00","$37,440.00"
FIN-10423,10/03/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$27,081.00","$27,365.00"
FIN-10424,15/01/2025,HR,Office Supplies,$0.00,$0.00,"$28,313.00","$33,008.00"
FIN-10425,14/08/2024,Marketing,Travel & Entertainment,"$123,445.00","$120,209.00","$12,023.00","$11,464.00"
FIN-10426,20/07/2024,HR,Office Supplies,$0.00,$0.00,"$43,848.00","$44,562.00"
FIN-10427,29/09/2024,HR,Travel & Entertainment,$0.00,$0.00,"$39,197.00","$43,783.00"
FIN-10428,01/12/2024,Marketing,Office Supplies,"$143,059.00","$123,866.00","$53,543.00","$59,054.00"
FIN-10429,16/08/2025,Engineering,Office Supplies,$0.00,$0.00,"$38,731.00","$38,600.00"
FIN-10430,14/11/2024,Engineering,Advertising,$0.00,$0.00,"$59,815.00","$59,831.00"
FIN-10431,25/06/2025,Marketing,Advertising,"$63,428.00","$68,919.00","$58,831.00","$62,130.00"
FIN-10432,15/11/2025,HR,Advertising,$0.00,$0.00,"$38,854.00","$43,541.00"
FIN-10433,25/04/2025,Marketing,Office Supplies,"$100,288.00","$103,243.00","$37,386.00","$42,245.00"
FIN-10434,27/04/2024,Operations,Payroll,$0.00,$0.00,"$55,253.00","$60,272.00"
FIN-10435,16/02/2024,Engineering,Advertising,$0.00,$0.00,"$40,254.00","$46,370.00"
FIN-10436,15/03/2024,Sales,Software Licenses,"$53,471.00","$48,705.00","$40,268.00","$48,075.00"
FIN-10437,10/09/2025,Sales,Advertising,"$56,397.00","$57,860.00","$45,525.00","$48,048.00"
FIN-10438,16/07/2025,Operations,Cloud Infrastructure,$0.00,$0.00,"$27,833.00","$32,169.00"
FIN-10439,03/08/2025,Operations,Travel & Entertainment,$0.00,$0.00,"$52,963.00","$60,419.00"
FIN-10440,14/03/2024,Operations,Office Supplies,$0.00,$0.00,"$58,709.00","$63,954.00"
FIN-10441,29/09/2025,Marketing,Cloud Infrastructure,"$144,848.00","$157,024.00","$53,619.00","$60,570.00"
FIN-10442,30/06/2024,HR,Office Supplies,$0.00,$0.00,"$47,051.00","$47,975.00"
FIN-10443,18/08/2025,Sales,Office Supplies,"$73,252.00","$63,779.00","$19,067.00","$17,415.00"
FIN-10444,07/12/2024,HR,Cloud Infrastructure,$0.00,$0.00,"$44,742.00","$52,432.00"
FIN-10445,23/09/2025,Marketing,Advertising,"$59,833.00","$66,021.00","$59,733.00","$54,931.00"
FIN-10446,15/08/2024,Engineering,Office Supplies,$0.00,$0.00,"$50,785.00","$59,516.00"
FIN-10447,16/03/2025,Operations,Office Supplies,$0.00,$0.00,"$27,073.00","$27,704.00"
FIN-10448,02/06/2025,Marketing,Cloud Infrastructure,"$116,707.00","$103,682.00","$51,903.00","$61,299.00"
FIN-10449,01/03/2025,Marketing,Office Supplies,"$72,669.00","$77,701.00","$28,745.00","$34,317.00"
FIN-10450,03/08/2025,Engineering,Software Licenses,$0.00,$0.00,"$41,703.00","$41,764.00"
FIN-10451,05/01/2025,Sales,Travel & Entertainment,"$79,055.00","$90,139.00","$16,588.00","$15,496.00"
FIN-10452,26/06/2024,Operations,Office Supplies,$0.00,$0.00,"$35,470.00","$34,593.00"
FIN-10453,22/11/2024,Sales,Payroll,"$125,415.00","$110,920.00","$17,521.00","$17,892.00"
FIN-10454,12/02/2024,Sales,Advertising,"$95,232.00","$96,475.00","$22,485.00","$25,949.00"
FIN-10455,31/05/2025,Marketing,Advertising,"$118,673.00","$104,345.00","$21,407.00","$21,910.00"
FIN-10456,28/09/2025,HR,Advertising,$0.00,$0.00,"$40,651.00","$40,927.00"
FIN-10457,02/09/2025,Engineering,Payroll,$0.00,$0.00,"$47,823.00","$47,915.00"
FIN-10458,03/10/2024,HR,Software Licenses,$0.00,$0.00,"$19,283.00","$21,732.00"
FIN-10459,01/08/2024,Operations,Advertising,$0.00,$0.00,"$24,939.00","$24,356.00"
FIN-10460,15/01/2025,Sales,Software Licenses,"$89,961.00","$91,525.00","$44,881.00","$41,270.00"
FIN-10461,10/09/2024,Engineering,Office Supplies,$0.00,$0.00,"$33,648.00","$34,227.00"
FIN-10462,14/08/2024,HR,Payroll,$0.00,$0.00,"$23,489.00","$21,798.00"
FIN-10463,02/11/2024,Engineering,Office Supplies,$0.00,$0.00,"$59,159.00","$58,339.00"
FIN-10464,20/04/2025,Sales,Office Supplies,"$107,828.00","$112,181.00","$16,710.00","$18,260.00"
FIN-10465,25/08/2024,Marketing,Software Licenses,"$56,971.00","$60,319.00","$21,531.00","$20,450.00"
FIN-10466,21/01/2025,Operations,Cloud Infrastructure,$0.00,$0.00,"$10,282.00","$10,107.00"
FIN-10467,09/02/2024,Sales,Office Supplies,"$135,120.00","$116,205.00","$43,380.00","$48,576.00"
FIN-10468,18/11/2025,Engineering,Travel & Entertainment,$0.00,$0.00,"$12,307.00","$14,024.00"
FIN-10469,31/12/2024,Engineering,Payroll,$0.00,$0.00,"$25,149.00","$25,045.00"
FIN-10470,08/05/2024,Operations,Travel & Entertainment,$0.00,$0.00,"$59,821.00","$65,228.00"
FIN-10471,16/09/2024,HR,Advertising,$0.00,$0.00,"$11,529.00","$11,854.00"
FIN-10472,03/09/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$19,752.00","$18,328.00"
FIN-10473,14/07/2024,Sales,Office Supplies,"$74,217.00","$64,852.00","$33,172.00","$39,542.00"
FIN-10474,20/04/2025,Operations,Payroll,$0.00,$0.00,"$19,587.00","$23,023.00"
FIN-10475,07/10/2025,Engineering,Office Supplies,$0.00,$0.00,"$26,299.00","$31,464.00"
FIN-10476,25/03/2025,HR,Office Supplies,$0.00,$0.00,"$28,888.00","$29,100.00"
FIN-10477,13/08/2024,Engineering,Office Supplies,$0.00,$0.00,"$22,763.00","$24,074.00"
FIN-10478,03/10/2024,HR,Software Licenses,$0.00,$0.00,"$34,765.00","$38,788.00"
FIN-10479,05/11/2025,HR,Software Licenses,$0.00,$0.00,"$55,096.00","$61,812.00"
FIN-10480,03/12/2024,Marketing,Cloud Infrastructure,"$134,246.00","$139,116.00","$26,021.00","$29,180.00"
FIN-10481,11/09/2025,Engineering,Advertising,$0.00,$0.00,"$50,718.00","$49,510.00"
FIN-10482,15/10/2024,HR,Travel & Entertainment,$0.00,$0.00,"$32,433.00","$32,352.00"
FIN-10483,04/09/2024,HR,Advertising,$0.00,$0.00,"$49,112.00","$53,855.00"
FIN-10484,01/01/2024,Engineering,Office Supplies,$0.00,$0.00,"$43,209.00","$45,533.00"
FIN-10485,22/05/2024,Operations,Cloud Infrastructure,$0.00,$0.00,"$19,528.00","$19,355.00"
FIN-10486,28/10/2024,HR,Advertising,$0.00,$0.00,"$26,843.00","$26,033.00"
FIN-10487,27/01/2025,Engineering,Office Supplies,$0.00,$0.00,"$39,516.00","$46,220.00"
FIN-10488,24/04/2024,Sales,Advertising,"$122,954.00","$104,517.00","$27,761.00","$28,708.00"
FIN-10489,03/07/2025,HR,Travel & Entertainment,$0.00,$0.00,"$19,031.00","$17,863.00"
FIN-10490,20/10/2025,Engineering,Office Supplies,$0.00,$0.00,"$52,864.00","$48,244.00"
FIN-10491,26/09/2024,Marketing,Advertising,"$84,518.00","$75,071.00","$14,088.00","$13,914.00"
FIN-10492,01/03/2025,Engineering,Payroll,$0.00,$0.00,"$15,075.00","$18,007.00"
FIN-10493,03/03/2024,Sales,Cloud Infrastructure,"$63,947.00","$70,266.00","$23,074.00","$26,807.00"
FIN-10494,01/02/2025,Operations,Travel & Entertainment,$0.00,$0.00,"$41,655.00","$40,780.00"
FIN-10495,21/09/2024,Sales,Office Supplies,"$96,733.00","$99,587.00","$21,240.00","$21,027.00"
FIN-10496,09/08/2024,Sales,Office Supplies,"$82,762.00","$92,765.00","$24,849.00","$27,342.00"
FIN-10497,13/09/2025,Sales,Travel & Entertainment,"$124,813.00","$135,843.00","$19,885.00","$20,456.00"
FIN-10498,29/07/2025,Marketing,Travel & Entertainment,"$145,998.00","$152,954.00","$23,615.00","$27,143.00"
FIN-10499,14/11/2025,Sales,Travel & Entertainment,"$117,580.00","$118,470.00","$40,600.00","$44,690.00"
FIN-10500,26/04/2025,Sales,Travel & Entertainment,"$148,646.00","$145,543.00","$36,955.00","$43,355.00"
FIN-10501,22/06/2024,Sales,Cloud Infrastructure,"$76,649.00","$68,941.00","$26,789.00","$28,989.00"
FIN-10502,03/07/2025,HR,Payroll,$0.00,$0.00,"$22,466.00","$21,819.00"
FIN-10503,30/03/2025,HR,Office Supplies,$0.00,$0.00,"$43,539.00","$44,207.00"
FIN-10504,01/08/2025,HR,Software Licenses,$0.00,$0.00,"$44,775.00","$48,365.00"
FIN-10505,26/12/2024,Sales,Advertising,"$90,197.00","$100,790.00","$38,369.00","$38,697.00"
FIN-10506,18/09/2024,Marketing,Cloud Infrastructure,"$90,583.00","$83,486.00","$39,033.00","$46,506.00"
FIN-10507,02/04/2024,Operations,Payroll,$0.00,$0.00,"$39,538.00","$37,910.00"
FIN-10508,17/10/2024,Operations,Office Supplies,$0.00,$0.00,"$40,519.00","$43,649.00"
FIN-10509,18/02/2024,Sales,Advertising,"$67,543.00","$58,155.00","$47,755.00","$47,061.00"
FIN-10510,06/12/2024,Operations,Payroll,$0.00,$0.00,"$27,087.00","$28,544.00"
FIN-10511,28/12/2024,Sales,Payroll,"$55,463.00","$48,592.00","$14,648.00","$16,778.00"
FIN-10512,24/07/2025,Sales,Travel & Entertainment,"$72,207.00","$76,588.00","$26,018.00","$26,933.00"
FIN-10513,06/05/2024,Operations,Payroll,$0.00,$0.00,"$54,199.00","$55,637.00"
FIN-10514,27/11/2024,Operations,Travel & Entertainment,$0.00,$0.00,"$52,092.00","$56,382.00"
FIN-10515,27/08/2024,Sales,Travel & Entertainment,"$114,089.00","$129,664.00","$13,321.00","$14,871.00"
FIN-10516,01/06/2024,Engineering,Advertising,$0.00,$0.00,"$23,654.00","$26,380.00"
FIN-10517,06/03/2025,Sales,Office Supplies,"$73,377.00","$68,021.00","$48,211.00","$48,941.00"
FIN-10518,30/09/2025,HR,Software Licenses,$0.00,$0.00,"$42,402.00","$45,747.00"
FIN-10519,24/03/2024,Sales,Payroll,"$66,715.00","$58,312.00","$29,086.00","$32,720.00"
